YYYY-MM-DD,hh:mm, Original, Calculated, Flag
1912/1/1,--:--,1448,-999,0
1912/2/1,--:--,1013,-999,0
1912/3/1,--:--,716,-999,0
1912/4/1,--:--,559,-999,0
1912/5/1,--:--,459,-999,0
1912/6/1,--:--,416,-999,0
1912/7/1,--:--,1381,-999,0
1912/8/1,--:--,7765,-999,0
1912/9/1,--:--,7561,-999,0
1912/10/1,--:--,4144,-999,0
1912/11/1,--:--,2353,-999,0
1912/12/1,--:--,1709,-999,0
1913/1/1,--:--,1362,-999,0
1913/2/1,--:--,954,-999,0
1913/3/1,--:--,698,-999,0
1913/4/1,--:--,570,-999,0
1913/5/1,--:--,507,-999,0
1913/6/1,--:--,655,-999,0
1913/7/1,--:--,832,-999,0
1913/8/1,--:--,2867,-999,0
1913/9/1,--:--,5169,-999,0
1913/10/1,--:--,2934,-999,0
1913/11/1,--:--,1597,-999,0
1913/12/1,--:--,1127,-999,0
1914/1/1,--:--,784,-999,0
1914/2/1,--:--,586,-999,0
1914/3/1,--:--,481,-999,0
1914/4/1,--:--,424,-999,0
1914/5/1,--:--,440,-999,0
1914/6/1,--:--,439,-999,0
1914/7/1,--:--,1082,-999,0
1914/8/1,--:--,8549,-999,0
1914/9/1,--:--,8603,-999,0
1914/10/1,--:--,6720,-999,0
1914/11/1,--:--,4050,-999,0
1914/12/1,--:--,2337,-999,0
1915/1/1,--:--,1564,-999,0
1915/2/1,--:--,1211,-999,0
1915/3/1,--:--,765,-999,0
1915/4/1,--:--,532,-999,0
1915/5/1,--:--,481,-999,0
1915/6/1,--:--,617,-999,0
1915/7/1,--:--,1149,-999,0
1915/8/1,--:--,4592,-999,0
1915/9/1,--:--,6327,-999,0
1915/10/1,--:--,5600,-999,0
1915/11/1,--:--,3024,-999,0
1915/12/1,--:--,1833,-999,0
1916/1/1,--:--,1310,-999,0
1916/2/1,--:--,866,-999,0
1916/3/1,--:--,560,-999,0
1916/4/1,--:--,455,-999,0
1916/5/1,--:--,421,-999,0
1916/6/1,--:--,509,-999,0
1916/7/1,--:--,2277,-999,0
1916/8/1,--:--,10117,-999,0
1916/9/1,--:--,12229,-999,0
1916/10/1,--:--,8661,-999,0
1916/11/1,--:--,4706,-999,0
1916/12/1,--:--,2635,-999,0
1917/1/1,--:--,1993,-999,0
1917/2/1,--:--,1707,-999,0
1917/3/1,--:--,1415,-999,0
1917/4/1,--:--,929,-999,0
1917/5/1,--:--,657,-999,0
1917/6/1,--:--,802,-999,0
1917/7/1,--:--,2176,-999,0
1917/8/1,--:--,7317,-999,0
1917/9/1,--:--,12152,-999,0
1917/10/1,--:--,9035,-999,0
1917/11/1,--:--,4475,-999,0
1917/12/1,--:--,2568,-999,0
1918/1/1,--:--,1997,-999,0
1918/2/1,--:--,1798,-999,0
1918/3/1,--:--,1795,-999,0
1918/4/1,--:--,1751,-999,0
1918/5/1,--:--,1620,-999,0
1918/6/1,--:--,1334,-999,0
1918/7/1,--:--,2352,-999,0
1918/8/1,--:--,5824,-999,0
1918/9/1,--:--,7253,-999,0
1918/10/1,--:--,4442,-999,0
1918/11/1,--:--,2573,-999,0
1918/12/1,--:--,1870,-999,0
1919/1/1,--:--,1381,-999,0
1919/2/1,--:--,987,-999,0
1919/3/1,--:--,772,-999,0
1919/4/1,--:--,625,-999,0
1919/5/1,--:--,548,-999,0
1919/6/1,--:--,648,-999,0
1919/7/1,--:--,1892,-999,0
1919/8/1,--:--,7168,-999,0
1919/9/1,--:--,8641,-999,0
1919/10/1,--:--,4853,-999,0
1919/11/1,--:--,2415,-999,0
1919/12/1,--:--,1680,-999,0
1920/1/1,--:--,1280,-999,0
1920/2/1,--:--,818,-999,0
1920/3/1,--:--,593,-999,0
1920/4/1,--:--,505,-999,0
1920/5/1,--:--,455,-999,0
1920/6/1,--:--,760,-999,0
1920/7/1,--:--,2326,-999,0
1920/8/1,--:--,7728,-999,0
1920/9/1,--:--,7368,-999,0
1920/10/1,--:--,5899,-999,0
1920/11/1,--:--,3360,-999,0
1920/12/1,--:--,1933,-999,0
1921/1/1,--:--,1418,-999,0
1921/2/1,--:--,901,-999,0
1921/3/1,--:--,627,-999,0
1921/4/1,--:--,501,-999,0
1921/5/1,--:--,418,-999,0
1921/6/1,--:--,532,-999,0
